Score,Country or region,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
7.769,Finland,1,1.340,1.587,0.986,0.596,0.153,0.393
7.600,Denmark,2,1.383,1.573,0.996,0.592,0.252,0.410
7.554,Norway,3,1.488,1.582,1.028,0.603,0.271,0.341
7.494,Iceland,4,1.380,1.624,1.026,0.591,0.354,0.118
7.488,Netherlands,5,1.396,1.522,0.999,0.557,0.322,0.298
7.480,Switzerland,6,1.452,1.526,1.052,0.572,0.263,0.343
7.343,Sweden,7,1.387,1.487,1.009,0.574,0.267,0.373
7.307,New Zealand,8,1.303,1.557,1.026,0.585,0.330,0.380
7.278,Canada,9,1.365,1.505,1.039,0.584,0.285,0.308
7.246,Austria,10,1.376,1.475,1.016,0.532,0.244,0.226
7.228,Australia,11,1.372,1.548,1.036,0.557,0.332,0.290
7.167,Costa Rica,12,1.034,1.441,0.963,0.558,0.144,0.093
7.139,Israel,13,1.276,1.455,1.029,0.371,0.261,0.082
7.090,Luxembourg,14,1.609,1.479,1.012,0.526,0.194,0.316
7.054,United Kingdom,15,1.333,1.538,0.996,0.450,0.348,0.278
7.021,Ireland,16,1.499,1.553,0.999,0.516,0.298,0.310
6.985,Germany,17,1.373,1.454,0.987,0.495,0.261,0.265
6.923,Belgium,18,1.356,1.504,0.986,0.473,0.160,0.210
6.892,United States,19,1.433,1.457,0.874,0.454,0.280,0.128
6.852,Czech Republic,20,1.269,1.487,0.920,0.457,0.046,0.036
6.825,United Arab Emirates,21,1.503,1.310,0.825,0.598,0.262,0.182
6.726,Malta,22,1.300,1.520,0.999,0.564,0.375,0.151
6.595,Mexico,23,1.070,1.323,0.861,0.433,0.074,0.073
6.592,France,24,1.324,1.472,1.045,0.436,0.111,0.183
6.446,Taiwan,25,1.368,1.430,0.914,0.351,0.242,0.097
6.444,Chile,26,1.159,1.369,0.920,0.357,0.187,0.056
6.436,Guatemala,27,0.800,1.269,0.746,0.535,0.175,0.078
6.375,Saudi Arabia,28,1.403,1.357,0.795,0.439,0.080,0.132
6.374,Qatar,29,1.684,1.313,0.871,0.555,0.220,0.167
6.354,Spain,30,1.286,1.484,1.062,0.362,0.153,0.079
6.321,Panama,31,1.149,1.442,0.910,0.516,0.109,0.054
6.300,Brazil,32,1.004,1.439,0.802,0.390,0.099,0.086
6.293,Uruguay,33,1.124,1.465,0.891,0.523,0.127,0.150
6.262,Singapore,34,1.572,1.463,1.141,0.556,0.271,0.453
6.253,El Salvador,35,0.794,1.242,0.789,0.430,0.093,0.074
6.223,Italy,36,1.294,1.488,1.039,0.231,0.158,0.030
6.199,Bahrain,37,1.362,1.368,0.871,0.536,0.255,0.110
6.198,Slovakia,38,1.246,1.504,0.881,0.334,0.121,0.014
6.192,Trinidad & Tobago,39,1.231,1.477,0.713,0.489,0.185,0.016
6.182,Poland,40,1.206,1.438,0.884,0.483,0.117,0.050
6.174,Uzbekistan,41,0.745,1.529,0.756,0.631,0.322,0.240
6.149,Lithuania,42,1.238,1.515,0.818,0.291,0.043,0.042
6.125,Colombia,43,0.985,1.410,0.841,0.470,0.099,0.034
6.118,Slovenia,44,1.258,1.523,0.953,0.564,0.144,0.057
6.105,Nicaragua,45,0.694,1.325,0.835,0.435,0.200,0.127
6.100,Kosovo,46,0.882,1.232,0.758,0.489,0.262,0.006
6.086,Argentina,47,1.092,1.432,0.881,0.471,0.066,0.050
6.070,Romania,48,1.162,1.232,0.825,0.462,0.083,0.005
6.046,Cyprus,49,1.263,1.223,1.042,0.406,0.190,0.041
6.028,Ecuador,50,0.912,1.312,0.868,0.498,0.126,0.087
6.021,Kuwait,51,1.500,1.319,0.808,0.493,0.142,0.097
6.008,Thailand,52,1.050,1.409,0.828,0.557,0.359,0.028
5.940,Latvia,53,1.187,1.465,0.812,0.264,0.075,0.064
5.895,South Korea,54,1.301,1.219,1.036,0.159,0.175,0.056
5.893,Estonia,55,1.237,1.528,0.874,0.495,0.103,0.161
5.890,Jamaica,56,0.831,1.478,0.831,0.490,0.107,0.028
5.888,Mauritius,57,1.120,1.402,0.798,0.498,0.215,0.060
5.886,Japan,58,1.327,1.419,1.088,0.445,0.069,0.140
5.860,Honduras,59,0.642,1.236,0.828,0.507,0.246,0.078
5.809,Kazakhstan,60,1.173,1.508,0.729,0.410,0.146,0.096
