arraywave1 arraywave2 arraywave3 arraywave4 arraywave5 arraywave6 arraywave7 arraywave8 arraywave9 arraywave10 arraywave11 arraywave12 arraywave13 arraywave14 arraywave15 arraywave16 arraywave17 arraywave18 arraywave19 arraywave20 arraywave21 arraywave22 arraywave23 arraywave24 arraywave25 arraywave26 arraywave27 arraywave28 arraywave29 arraywave30 arraywave31 arraywave32 arraywave33 arraywave34 arraywave35 arraywave36 arraywave37 arraywave38 arraywave39 arraywave40
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -0.1323376297951 -0.1511205434799 -0.1395083069801 -0.1261692941189 -0.1163202524185 -0.112398058176 -0.116272687912 -0.1228984892368 -0.1243720054626 -0.1307952702045 -0.1494758725166 -0.1783938109875 -0.1956920027733 -0.2004786431789 -0.2100344598293 nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan -0.1333442628384 -0.1139735281467 -0.09534293413162 -0.09011721611023 -0.09403443336487 -0.08983834087849 -0.07846611738205 -0.07126545906067 -0.07217541337013 -0.07935430109501 -0.08747789263725 -0.08988747000694 -0.09853899478912 -0.1183400452137 -0.142136156559 -0.155064612627 -0.1592059135437 -0.1676038503647 -0.1779360771179 -0.1995714604855 nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan -0.09015648066998 -0.08879846334457 -0.07547552883625 -0.05430407822132 -0.04527801275253 -0.04415121674538 -0.03918634355068 -0.03364852070808 -0.03098674118519 -0.03182883560658 -0.04189363121986 -0.05039685964584 -0.05272313952446 -0.06242360174656 -0.08355632424355 -0.1011534035206 -0.1154179871082 -0.1260532140732 -0.1352407038212 -0.1530378460884 -0.1705409884453 -0.1970124542713 -0.2175233066082 nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan -0.05084584653378 -0.04999741911888 -0.03372050821781 -0.01398468017578 -0.00413379073143 0.00213348865509 0.008164748549461 0.01341164112091 0.0133240967989 0.01148319244385 0.001066669821739 -0.01075133681297 -0.02235965430737 -0.03551983833313 -0.04802763462067 -0.05969619750977 -0.07614740729332 -0.09084719419479 -0.1077842414379 -0.1286185979843 -0.1464984118938 -0.1677458882332 -0.1803038716316 -0.1761708259583 nan nan nan nan nan
nan nan nan nan nan nan nan nan -0.1382130980492 -0.0839262008667 -0.04662534594536 -0.01794704794884 -0.007897675037384 0.009092807769775 0.02404999732971 0.03606050461531 0.04630292207003 0.05183777213097 0.05421106517315 0.05332448333502 0.04949663579464 0.04032088816166 0.02566310018301 0.00891999900341 -0.007217645645142 -0.01580807566643 -0.02555790543556 -0.04247613251209 -0.05833372473717 -0.08133563399315 -0.1051942706108 -0.1275101900101 -0.1409102976322 -0.145626783371 -0.1466120779514 -0.1430706381798 -0.1382813453674 nan nan nan
nan nan nan nan nan nan nan nan -0.08678436279297 -0.05099377036095 -0.02138693630695 0.01276983320713 0.03282348811626 0.05296278744936 0.06909693032503 0.07604376971722 0.08364407718182 0.08873943984509 0.08931248635054 0.08657338470221 0.07780902087688 0.0687472820282 0.05671266466379 0.03867536783218 0.0218021273613 0.01238352060318 0.00310555100441 -0.01565036177635 -0.03477644920349 -0.05636966228485 -0.07896260917187 -0.09779962897301 -0.1103611886501 -0.1116093397141 -0.1182865798473 -0.1294712424278 -0.1395321786404 -0.1469064056873 nan nan
nan nan nan nan nan nan nan -0.07728250324726 -0.05194494128227 -0.02330960333347 0.01082643866539 0.04617695510387 0.0708013176918 0.09217589348555 0.1088434159756 0.1137115955353 0.1159728243947 0.1202515736222 0.1189208254218 0.115393511951 0.1055445224047 0.09557250142097 0.085154697299 0.06652741134167 0.04755891859531 0.03540346026421 0.0250302106142 0.009343042969704 -0.01112346351147 -0.03119310736656 -0.04910555481911 -0.06943337619305 -0.07991087436676 -0.0819166302681 -0.0933393985033 -0.1141650080681 -0.1273507773876 -0.1418311595917 nan nan
nan nan nan nan nan nan nan -0.04831033945084 -0.02165818214417 0.007033094763756 0.04493345320225 0.08243101835251 0.1093168705702 0.1311686038971 0.1432628929615 0.1434868723154 0.1469024866819 0.1511554121971 0.1486555635929 0.1428079456091 0.132089048624 0.1215578764677 0.1108831763268 0.09151530265808 0.06763888895512 0.05447769165039 0.04618214070797 0.02787565439939 0.008371829986572 -0.008641004562378 -0.02514393627644 -0.04432407021523 -0.05511452257633 -0.06178605556488 -0.07301193475723 -0.08994233608246 -0.1107004582882 -0.1250937283039 -0.1455936431885 nan
nan nan nan nan nan nan -0.06877471506596 -0.02528835833073 0.0122876316309 0.04107394814491 0.07994470000267 0.115692384541 0.1397438943386 0.1602385044098 0.1693820506334 0.174685895443 0.1793079823256 0.1808824688196 0.1769269406796 0.1692980527878 0.1582096219063 0.1434271484613 0.1304673552513 0.1114401519299 0.08589043468237 0.07145533710718 0.06279518455267 0.04486969858408 0.02709972858429 0.01258125901222 -0.004762202501297 -0.02106547355652 -0.03930087387562 -0.05040481686592 -0.06473594903946 -0.07866060733795 -0.09616792201996 -0.1135793924332 -0.1371497809887 nan
nan nan nan nan nan nan -0.0528095215559 -0.0007399916648865 0.03765358030796 0.07208164781332 0.1063580214977 0.1392706632614 0.1637708246708 0.1796359717846 0.192259773612 0.2013450115919 0.2055647075176 0.2043096274137 0.1988011598587 0.1893729120493 0.1796789616346 0.1661821752787 0.1499310433865 0.1285061389208 0.1012600213289 0.08526594936848 0.07521823048592 0.06092314422131 0.0482374355197 0.03306282311678 0.01372255384922 -0.006217464804649 -0.02748271822929 -0.04427134990692 -0.05644777417183 -0.06803850829601 -0.08400775492191 -0.1012743115425 -0.117967993021 nan
nan nan nan nan nan nan -0.0386216044426 0.01297087967396 0.05440251529217 0.0900245308876 0.1241416111588 0.1567284911871 0.1810392588377 0.1986157894135 0.2137665748596 0.2218909859657 0.2237178981304 0.219561740756 0.2152280211449 0.2072604000568 0.1981255561113 0.1832501292229 0.1640448719263 0.1433155834675 0.1172613948584 0.09690156579018 0.0863566622138 0.07438649982214 0.06190868467093 0.0451887100935 0.02513466030359 0.004530668258667 -0.01557683944702 -0.03025874495506 -0.04245784878731 -0.05515572428703 -0.06941437721252 -0.08133509755135 -0.09276716411114 nan
nan nan nan nan nan -0.06971044838428 -0.02416558563709 0.0216569006443 0.06841158866882 0.1013399586082 0.1344073712826 0.1671480238438 0.1943280100822 0.2147437632084 0.2281368076801 0.2347571104765 0.2351193279028 0.2331821620464 0.2282472699881 0.2201456129551 0.2091543674469 0.1939632594585 0.1756580322981 0.1557685434818 0.1314562559128 0.1113657727838 0.09939517080784 0.08614142239094 0.0707889944315 0.05352273583412 0.03281979262829 0.01446752250195 -0.005719274282455 -0.01774251461029 -0.02958090603352 -0.04526311159134 -0.06176023185253 -0.07237523794174 -0.08386175334454 -0.0951020270586
nan nan nan nan nan -0.06193134188652 -0.01269738376141 0.02923120558262 0.07463566958904 0.1108157783747 0.1422871649265 0.1772732138634 0.2021110355854 0.222105294466 0.2347147166729 0.2401881814003 0.2428703010082 0.241528570652 0.2351975291967 0.2282937467098 0.2132522463799 0.1968287527561 0.1826826035976 0.1627558618784 0.1405492424965 0.1250818967819 0.1076671630144 0.09142304211855 0.07737505435944 0.06129352003336 0.04293153434992 0.02459368854761 0.005807876586914 -0.007545858621597 -0.02087281644344 -0.03873200714588 -0.05743595957756 -0.07368063926697 -0.08813586831093 -0.1035472452641
nan nan nan nan nan -0.05032271146774 -0.01132066547871 0.02904781699181 0.07243090122938 0.1125808730721 0.1462521255016 0.1774000376463 0.2025775313377 0.2218635380268 0.2354945838451 0.2407213151455 0.2437988519669 0.2422125339508 0.2345986366272 0.2263586521149 0.2109816968441 0.1966704428196 0.1825362443924 0.1635743975639 0.1441408395767 0.1295555084944 0.1130989119411 0.09515388309956 0.07958579063416 0.0660602375865 0.05071385204792 0.03041732311249 0.01021358370781 -0.003204599022865 -0.01804944872856 -0.03711599111557 -0.05474610626698 -0.07708814740181 -0.09230415523052 -0.09858553111553
nan nan nan nan nan nan -0.005047842860222 0.02932012081146 0.06776964664459 0.1055909842253 0.1408708095551 0.1692487895489 0.1956170648336 0.2132672816515 0.2253528088331 0.2323807924986 0.2371823936701 0.2347226440907 0.2272464036942 0.219775646925 0.2059997916222 0.1903472840786 0.1785236597061 0.1616672128439 0.1426690816879 0.1287218034267 0.11559869349 0.09737462550402 0.07944463938475 0.06850717961788 0.05204541236162 0.02909322082996 0.007756143808365 -0.005557671189308 -0.01926721632481 -0.03759254515171 -0.05517368018627 -0.07108342647552 -0.08263546228409 -0.09215825796127
nan nan nan nan nan -0.04483211040497 -0.003908187150955 0.02898791432381 0.06240949034691 0.09625186026096 0.1287274509668 0.1562720984221 0.1828209459782 0.203199967742 0.2119102925062 0.2188925743103 0.2250459939241 0.2233075499535 0.2166132479906 0.2091934382915 0.1989633440971 0.1851054430008 0.1729439795017 0.1573465019464 0.1395033597946 0.121489495039 0.112142264843 0.09787251800299 0.07934028655291 0.06716496497393 0.05168421566486 0.02599015831947 0.004031211137772 -0.006831049919128 -0.01612654328346 -0.03569489717484 -0.0487784743309 -0.05764476954937 -0.0692498087883 -0.08590972423553
nan nan nan nan nan -0.04475603997707 -0.00787889957428 0.02109688520432 0.05565994977951 0.08547546714544 0.112430870533 0.1443230211735 0.1705816984177 0.1906515955925 0.2001753896475 0.2066467404366 0.2128450572491 0.2105015069246 0.2029511034489 0.1939560770988 0.1849525868893 0.1757739633322 0.1636029034853 0.1490553915501 0.1306207031012 0.1165943592787 0.1078502982855 0.09242928773165 0.0772599875927 0.06069520115852 0.04279980063438 0.02239646017551 0.008006572723389 -0.001658707857132 -0.01369844377041 -0.03058104217052 -0.04464563727379 -0.05279269814491 -0.0602295845747 -0.07303404808044
nan nan nan nan nan nan -0.01747204363346 0.007707580924034 0.04495310038328 0.06948725879192 0.0984161645174 0.1278671473265 0.1515493839979 0.1716082394123 0.185623049736 0.1917319297791 0.1959838867187 0.1937112063169 0.1847905218601 0.1771117299795 0.1685428470373 0.158928245306 0.1487249284983 0.1349792331457 0.1196135431528 0.1055701896548 0.09459362924099 0.08114746212959 0.06444622576237 0.0491738691926 0.03305096179247 0.0195147395134 0.009463787078857 0.0005636066198349 -0.0124064385891 -0.02925011515617 -0.04117023944855 -0.05065713822842 -0.05421149730682 -0.05577552318573
